,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-09-14,174.46133422851562,250.5959930419922,144.72000122070312,158.31260681152344,209.0500030517578,275.6594543457031,217.22349548339844,53.477630615234375,156.91943359375,83.44911193847656,332.0341186523437,317.5877380371094,187.40147399902344,139.68380737304688,156.2039794921875,143.07664489746094,55.86705017089844,274.7800598144531,81.00515747070312,103.71070861816406,334.8337097167969,94.75077056884766,45.55988693237305,149.1538848876953,264.65643310546875,161.4444580078125,472.5069274902344,238.7571563720703,30.21709251403809,54.08098983764648
2023-09-15,173.73663330078125,249.08648681640625,140.38999938964844,160.24038696289062,208.1100006103516,272.3327331542969,213.0831756591797,53.16456604003906,156.23446655273438,84.53568267822266,330.07794189453125,309.6583557128906,186.89801025390625,138.3945770263672,154.0193634033203,142.6548309326172,55.37010955810547,268.4789733886719,80.00763702392578,103.02083587646484,326.4505310058594,93.84410095214844,43.87966537475586,147.90106201171875,258.2984313964844,160.3160400390625,475.5357971191406,238.33204650878903,29.995166778564453,53.8813591003418
2023-09-18,176.67507934570312,251.40806579589844,139.97999572753906,156.20870971679688,205.1199951171875,274.0790100097656,213.4703826904297,53.2309799194336,156.91006469726562,83.98251342773438,330.82958984375,305.66961669921875,188.27284240722656,137.54141235351562,154.99240112304688,142.95199584960938,55.714149475097656,267.98681640625,79.99180603027344,103.30828094482422,325.3037414550781,93.11293029785156,43.94562530517578,148.46002197265625,256.6398620605469,162.31024169921875,474.9105224609375,241.8812561035156,29.76436233520508,53.48208618164063
2023-09-19,177.76710510253906,252.51632690429688,137.6300048828125,155.93472290039062,204.47999572753903,272.84002685546875,214.16539001464844,52.97482299804688,156.8913116455078,80.94010162353516,329.4515991210937,303.11639404296875,189.1345367431641,138.89698791503906,154.73484802246094,142.76986694335938,55.59947204589844,268.3824462890625,79.35054016113281,102.8675308227539,324.8984069824219,92.24525451660156,43.49983596801758,148.02633666992188,258.0910949707031,162.64100646972656,469.6343994140625,240.79376220703125,29.648963928222656,53.468997955322266
2023-09-20,174.21315002441406,259.34722900390625,135.2899932861328,153.86012268066406,202.3699951171875,271.805908203125,211.5144195556641,52.65227508544922,156.41275024414062,81.55252075195312,324.4504089355469,299.50341796875,188.2534942626953,142.0347900390625,155.41217041015625,142.1659393310547,55.847938537597656,267.48504638671875,78.36884307861328,102.81961822509766,317.1083679199219,91.67982482910156,42.21943283081055,147.90106201171875,256.5015563964844,164.34339904785156,480.8412780761719,239.11306762695312,29.82650375366211,53.64244842529297
2023-09-21,172.66448974609375,257.3887634277344,129.3300018310547,151.39414978027344,199.9499969482422,265.3865966796875,207.1258544921875,50.60309982299805,155.00521850585938,81.720458984375,318.2253723144531,295.5531921386719,185.33924865722656,139.71226501464844,154.21971130371094,141.0539093017578,54.98785018920898,261.7145690917969,77.18132019042969,102.26390838623048,315.88250732421875,89.29131317138672,40.99799346923828,146.6193084716797,251.1407470703125,164.0223846435547,489.64459228515625,233.9226837158203,29.55132102966309,52.991188049316406
2023-09-22,173.5182342529297,255.7550506591797,129.1199951171875,149.79908752441406,197.7100067138672,266.3914794921875,204.9613494873047,50.8213005065918,156.0280303955078,80.2585220336914,315.9609375,294.56085205078125,183.7417449951172,139.26669311523438,153.1130828857422,139.7022247314453,55.04519271850586,262.6795349121094,76.82506561279297,101.89020538330078,313.39129638671875,88.56986999511719,41.59072113037109,146.0796356201172,251.42703247070312,163.2733154296875,494.4908142089844,232.4100952148437,29.542442321777344,53.13191986083984
2023-09-25,174.7988739013672,254.9525146484375,131.27000427246094,149.9458770751953,198.77999877929688,267.5718994140625,204.8719787597656,50.73591995239258,158.3082275390625,80.02143859863281,316.8763122558594,295.29302978515625,185.7555694580078,138.85906982421875,152.88412475585938,140.39244079589844,54.47180938720703,260.3250732421875,75.04376220703125,101.41114044189452,313.9152526855469,88.32615661621094,42.20243453979492,145.19300842285156,252.9474334716797,163.2733154296875,498.574951171875,230.7095947265625,29.435914993286133,53.36754989624024
2023-09-26,170.70883178710938,257.0353088378906,125.9800033569336,147.8810577392578,195.63999938964844,262.9378662109375,201.0493927001953,50.00542831420898,157.45433044433594,79.07315826416016,312.0390014648437,291.4873962402344,181.91189575195312,135.78765869140625,151.7012176513672,138.935302734375,54.02265167236328,258.3372802734375,74.32332611083984,100.97997283935548,308.5768737792969,87.90694427490234,41.89158248901367,143.90164184570312,250.63723754882807,163.3900604248047,493.8557739257813,227.041732788086,29.285011291503903,53.18100738525391
2023-09-27,169.18995666503906,256.9779052734375,125.9800033569336,146.687255859375,195.4600067138672,266.04998779296875,201.28765869140625,50.47029113769531,160.4945526123047,78.92498779296875,310.2370300292969,290.793701171875,181.90220642089844,135.7213134765625,149.8791046142578,139.75015258789062,53.468379974365234,254.4002685546875,73.99083709716797,99.59065246582033,309.219482421875,87.1757583618164,42.44832992553711,141.99349975585938,247.4286193847656,163.3511505126953,492.1752014160156,226.89344787597656,28.76127243041992,52.92573547363281
2023-09-28,169.44805908203125,258.73583984375,125.9800033569336,147.01016235351562,190.42999267578125,269.4938049316406,201.7543182373047,51.11539840698242,160.07229614257812,79.15217590332031,313.3688049316406,292.4026184082031,181.1566925048828,134.21401977539062,149.65969848632812,141.4853057861328,53.334590911865234,256.2818908691406,73.83248901367188,99.93558502197266,310.059814453125,87.3804931640625,43.06903839111328,141.02976989746094,252.9474334716797,163.05929565429688,498.3990478515625,229.02891540527344,28.894420623779297,53.194091796875
2023-09-29,169.96429443359375,256.7677307128906,127.12000274658205,145.99246215820312,191.67999267578125,266.3329467773437,201.3373260498047,51.00154876708984,158.2237548828125,80.06095886230469,311.7981262207031,291.1212463378906,178.86212158203125,133.0006103515625,148.58169555664062,139.02159118652344,53.49704360961914,254.2072906494141,74.11750793457031,98.6420669555664,312.1456604003906,93.2201690673828,43.47884750366211,140.5672149658203,251.8022308349609,158.8665771484375,492.6246337890625,227.39764404296875,28.77014923095703,52.33992767333984
2023-10-02,172.48580932617188,254.42709350585932,129.4600067138672,146.27622985839844,187.8300018310547,265.08416748046875,202.2607421875,51.59922409057617,156.27200317382812,80.67339324951172,306.9125671386719,288.8763732910156,176.7998809814453,133.47459411621094,148.00930786132812,137.8232879638672,53.01922225952149,248.71669006347656,71.42577362060547,98.2588119506836,318.1265869140625,92.18677520751952,44.7612533569336,139.92152404785156,249.43276977539065,157.85487365722656,502.7665710449219,228.6433563232422,28.19314765930176,52.39556503295898
